Image_id,Model,Prompt_id,Prompt_variant,File_Path,Generation_DateTime,Seed,R1_Racial_Diversity,R1_Gender_Representation,R1_Cultural_Context_Fit,R1_Body_Representation,R1_Visual_Quality,,R2_Racial_Diversity,R2_Gender_Representation,R2_Cultural_Context_Fit,R2_Body_Representation,R2_Visual_Quality,Mean_racial_diversity,Mean_gender_representation,Mean_cultural_context_fit,Mean_body_representation,Mean_visual_quality,Themes_codes,Notes_r1
DALLE_P1_I,DALL-E (GPT 5.1),P1,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P1.png,23/11/2025 11:02:34,,3,4,2,2,3,,3,5,1,3,5,,,,,,lack_of_diversity,
DALLE_P2_I,DALL-E (GPT 5.1),P2,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P2.png,23/11/2025 11:09:36,,4,4,4,4,3,,5,5,5,5,4,,,,,,latin_american_cues,Importante adição de pessoa indígena gerando inclusão
DALLE_P3_I,DALL-E (GPT 5.1),P3,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P3.png,23/11/2025 11:13:10,,4,3,2,4,2,,5,5,3,5,5,,,,,,,Boa inclusão de corpos e pessoa com deficiência física
DALLE_P4_I,DALL-E (GPT 5.1),P4,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P4.png,23/11/2025 11:16:14,,4,4,3,4,2,,5,5,2,5,2,,,,,,,
DALLE_P5_I,DALL-E (GPT 5.1),P5,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P5.png,23/11/2025 11:19:27,,4,4,4,3,3,,5,5,4,5,2,,,,,,,Boa inclusão racial e de gênero
DALLE_P6_I,DALL-E (GPT 5.1),P6,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P6.png,23/11/2025 11:22:52,,5,4,5,4,4,,5,5,5,5,3,,,,,,latin_american_cues,Ótimo contexto cultural latino-americano
DALLE_P7_I,DALL-E (GPT 5.1),P7,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P7.png,23/11/2025 11:26:08,,3,3,4,3,3,,5,5,5,5,4,,,,,,,
DALLE_P8_I,DALL-E (GPT 5.1),P8,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P8.png,23/11/2025 11:30:16,,4,4,4,4,4,,5,5,5,5,4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
NB_P1_I,NanoBanana Pro,P1,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P1.png,23/11/2025 11:02:34,,2,4,4,2,4,,2,5,2,3,4,,,,,,lack_of_diversity,Falta da inclusão de afro-descendentes
NB_P2_I,NanoBanana Pro,P2,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P2.png,23/11/2025 11:09:36,,3,4,4,4,4,,5,5,5,5,5,,,,,,,
NB_P3_I,NanoBanana Pro,P3,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P3.png,23/11/2025 11:13:10,,4,2,3,4,4,,5,5,2,5,5,,,,,,,
NB_P4_I,NanoBanana Pro,P4,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P4.png,23/11/2025 11:16:14,,3,4,4,3,4,,5,5,3,5,5,,,,,,,
NB_P5_I,NanoBanana Pro,P5,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P5.png,23/11/2025 11:19:27,,3,4,4,2,5,,5,5,5,5,5,,,,,,,
NB_P6_I,NanoBanana Pro,P6,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P6.png,23/11/2025 11:22:52,,4,4,4,2,3,,5,5,5,4,5,,,,,,,Forte inclusão cultural latino-americano
NB_P7_I,NanoBanana Pro,P7,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P7.png,23/11/2025 11:26:08,,3,4,2,2,4,,5,5,4,2,5,,,,,,,Textos em espanhol para contexto latino-americano
NB_P8_I,NanoBanana Pro,P8,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P8.png,23/11/2025 11:30:16,,4,4,4,3,3,,5,5,5,5,3,,,,,,,"Boa inclusão de gênero, racial e cultural"
,,,,,,,,,,,,,,,,,,,,,,,,
MJD_P1_I,Midjourney (v.7),P1,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P1.png,23/11/2025 11:02:34,3440581524,1,3,2,2,4,,1,3,1,1,4,,,,,,"eurocentric_faces, light_skin_dominance",
MJD_P2_I,Midjourney (v.7),P2,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P2.png,23/11/2025 11:09:36,882029052,4,4,3,2,4,,5,5,2,1,4,,,,,,,
