Image_id,Model,Prompt_id,Prompt_variant,File_Path,Generation_DateTime,Seed,R1_Racial_Diversity,R1_Gender_Representation,R1_Cultural_Context_Fit,R1_Body_Representation,R1_Visual_Quality,R2_Racial_Diversity,R2_Gender_Representation,R2_Cultural_Context_Fit,R2_Body_Representation,R2_Visual_Quality,Mean_racial_diversity,Mean_gender_representation,Mean_cultural_context_fit,Mean_body_representation,Mean_visual_quality,Themes_codes,Notes_r1,Model_clean,ModelPrompt
DALLE_P1_I,DALL-E (GPT 5.1),P1,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P1.png,23/11/2025 11:02:34,,3.0,4.0,2.0,2.0,3.0,3.0,5.0,1.0,3.0,5.0,3.0,4.5,1.5,2.5,4.0,lack_of_diversity,,DALL-E,DALL-E - Inclusive
DALLE_P2_I,DALL-E (GPT 5.1),P2,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P2.png,23/11/2025 11:09:36,,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.5,4.5,4.5,4.5,3.5,latin_american_cues,Importante adição de pessoa indígena gerando inclusão,DALL-E,DALL-E - Inclusive
DALLE_P3_I,DALL-E (GPT 5.1),P3,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P3.png,23/11/2025 11:13:10,,4.0,3.0,2.0,4.0,2.0,5.0,5.0,3.0,5.0,5.0,4.5,4.0,2.5,4.5,3.5,,Boa inclusão de corpos e pessoa com deficiência física,DALL-E,DALL-E - Inclusive
DALLE_P4_I,DALL-E (GPT 5.1),P4,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P4.png,23/11/2025 11:16:14,,4.0,4.0,3.0,4.0,2.0,5.0,5.0,2.0,5.0,2.0,4.5,4.5,2.5,4.5,2.0,,,DALL-E,DALL-E - Inclusive
DALLE_P5_I,DALL-E (GPT 5.1),P5,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P5.png,23/11/2025 11:19:27,,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,5.0,2.0,4.5,4.5,4.0,4.0,2.5,,Boa inclusão racial e de gênero,DALL-E,DALL-E - Inclusive
DALLE_P6_I,DALL-E (GPT 5.1),P6,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P6.png,23/11/2025 11:22:52,,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.5,5.0,4.5,3.5,latin_american_cues,Ótimo contexto cultural latino-americano,DALL-E,DALL-E - Inclusive
DALLE_P7_I,DALL-E (GPT 5.1),P7,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P7.png,23/11/2025 11:26:08,,3.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.5,4.0,3.5,,,DALL-E,DALL-E - Inclusive
DALLE_P8_I,DALL-E (GPT 5.1),P8,Inclusive,Images generated by ia/Inclusive prompts/Dall-E/Inclusive prompts 1-8/P8.png,23/11/2025 11:30:16,,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.5,4.5,4.5,4.5,4.0,,,DALL-E,DALL-E - Inclusive
NB_P1_I,NanoBanana Pro,P1,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P1.png,23/11/2025 11:02:34,,2.0,4.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,4.0,2.0,4.5,3.0,2.5,4.0,lack_of_diversity,Falta da inclusão de afro-descendentes,NanoBanana Pro,NanoBanana Pro - Inclusive
NB_P2_I,NanoBanana Pro,P2,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P2.png,23/11/2025 11:09:36,,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.5,4.5,4.5,4.5,,,NanoBanana Pro,NanoBanana Pro - Inclusive
NB_P3_I,NanoBanana Pro,P3,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P3.png,23/11/2025 11:13:10,,4.0,2.0,3.0,4.0,4.0,5.0,5.0,2.0,5.0,5.0,4.5,3.5,2.5,4.5,4.5,,,NanoBanana Pro,NanoBanana Pro - Inclusive
NB_P4_I,NanoBanana Pro,P4,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P4.png,23/11/2025 11:16:14,,3.0,4.0,4.0,3.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.5,3.5,4.0,4.5,,,NanoBanana Pro,NanoBanana Pro - Inclusive
NB_P5_I,NanoBanana Pro,P5,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P5.png,23/11/2025 11:19:27,,3.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.5,4.5,3.5,5.0,,,NanoBanana Pro,NanoBanana Pro - Inclusive
NB_P6_I,NanoBanana Pro,P6,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P6.png,23/11/2025 11:22:52,,4.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,4.0,5.0,4.5,4.5,4.5,3.0,4.0,,Forte inclusão cultural latino-americano,NanoBanana Pro,NanoBanana Pro - Inclusive
NB_P7_I,NanoBanana Pro,P7,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P7.png,23/11/2025 11:26:08,,3.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,2.0,5.0,4.0,4.5,3.0,2.0,4.5,,Textos em espanhol para contexto latino-americano,NanoBanana Pro,NanoBanana Pro - Inclusive
NB_P8_I,NanoBanana Pro,P8,Inclusive,Images generated by ia/Inclusive prompts/Gemini (NanoBanana)/Inclusive prompts 1-8/P8.png,23/11/2025 11:30:16,,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,4.5,4.5,4.5,4.0,3.0,,"Boa inclusão de gênero, racial e cultural",NanoBanana Pro,NanoBanana Pro - Inclusive
MJD_P1_I,Midjourney (v.7),P1,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P1.png,23/11/2025 11:02:34,3440581524.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,3.0,1.5,1.5,4.0,"eurocentric_faces, light_skin_dominance",,Midjourney,Midjourney - Inclusive
MJD_P2_I,Midjourney (v.7),P2,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P2.png,23/11/2025 11:09:36,882029052.0,4.0,4.0,3.0,2.0,4.0,5.0,5.0,2.0,1.0,4.0,4.5,4.5,2.5,1.5,4.0,,,Midjourney,Midjourney - Inclusive
MJD_P3_I,Midjourney (v.7),P3,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P3.png,23/11/2025 11:13:10,901481468.0,2.0,3.0,2.0,2.0,4.0,1.0,5.0,1.0,1.0,4.0,1.5,4.0,1.5,1.5,4.0,"eurocentric_faces, light_skin_dominance",Falta de inclusão racial,Midjourney,Midjourney - Inclusive
MJD_P4_I,Midjourney (v.7),P4,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P4.png,23/11/2025 11:16:14,2464975601.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,3.5,3.0,2.0,1.5,3.0,,,Midjourney,Midjourney - Inclusive
MJD_P5_I,Midjourney (v.7),P5,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P5.png,23/11/2025 11:19:27,826685799.0,4.0,4.0,2.0,2.0,5.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,2.0,1.5,3.5,hyperrealism_style,Imagem realistica,Midjourney,Midjourney - Inclusive
MJD_P6_I,Midjourney (v.7),P6,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P6.png,23/11/2025 11:22:52,1046498661.0,2.0,4.0,3.0,2.0,4.0,5.0,4.0,2.0,1.0,4.0,3.5,4.0,2.5,1.5,4.0,,Ótimo nível de realismo + boa inclusão da cultura negra e vestimentas,Midjourney,Midjourney - Inclusive
MJD_P7_I,Midjourney (v.7),P7,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P7.png,23/11/2025 11:26:08,789215320.0,2.0,4.0,4.0,3.0,3.0,1.0,5.0,3.0,5.0,1.0,1.5,4.5,3.5,4.0,2.0,"light_skin_dominance, lack_of_diversity",Falta de inclusão racial,Midjourney,Midjourney - Inclusive
MJD_P8_I,Midjourney (v.7),P8,Inclusive,Images generated by ia/Inclusive prompts/Midjourney/Inclusive prompts 1-8/P8.png,23/11/2025 11:30:16,29010980.0,3.0,3.0,2.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,3.0,2.5,1.5,1.0,3.0,"eurocentric_faces, athletic_body_norm",,Midjourney,Midjourney - Inclusive
WHISK_P1_I,Whisk,P1,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P1.png,23/11/2025 11:02:34,110373.0,2.0,3.0,3.0,2.0,5.0,2.0,4.0,1.0,2.0,4.0,2.0,3.5,2.0,2.0,4.5,hyperrealism_style,Ótimo nível de realismo,Whisk,Whisk - Inclusive
WHISK_P2_I,Whisk,P2,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P2.png,23/11/2025 11:09:36,339215.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,2.0,5.0,5.0,4.5,4.5,2.5,4.0,4.5,,,Whisk,Whisk - Inclusive
WHISK_P3_I,Whisk,P3,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P3.png,23/11/2025 11:13:10,729705.0,2.0,2.0,4.0,4.0,4.0,3.0,1.0,3.0,4.0,4.0,2.5,1.5,3.5,4.0,4.0,male_dominated_scene,Inclusão de pessoa com deficiência física,Whisk,Whisk - Inclusive
WHISK_P4_I,Whisk,P4,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P4.png,23/11/2025 11:16:14,868370.0,3.0,4.0,4.0,2.0,5.0,3.0,5.0,2.0,2.0,5.0,3.0,4.5,3.0,2.0,5.0,,Inclusão cultural oriental e não latino americana,Whisk,Whisk - Inclusive
WHISK_P5_I,Whisk,P5,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P5.png,23/11/2025 11:19:27,239420.0,4.0,1.0,3.0,2.0,4.0,5.0,1.0,4.0,2.0,4.0,4.5,1.0,3.5,2.0,4.0,male_dominated_scene,,Whisk,Whisk - Inclusive
WHISK_P6_I,Whisk,P6,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P6.png,23/11/2025 11:22:52,765327.0,2.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,3.5,5.0,5.0,4.0,4.0,latin_american_cues,Ótima inclusão cultural latino-americana,Whisk,Whisk - Inclusive
WHISK_P7_I,Whisk,P7,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P7.png,23/11/2025 11:26:08,637215.0,2.0,4.0,3.0,4.0,3.0,1.0,5.0,1.0,4.0,5.0,1.5,4.5,2.0,4.0,4.0,"lack_of_diversity, light_skin_dominance",Inclusão de pessoa com deficiência física,Whisk,Whisk - Inclusive
WHISK_P8_I,Whisk,P8,Inclusive,Images generated by ia/Inclusive prompts/Whisk/Inclusive prompts 1-8/P8.png,23/11/2025 11:30:16,243152.0,3.0,3.0,4.0,2.0,5.0,2.0,2.0,1.0,1.0,4.0,2.5,2.5,2.5,1.5,4.5,lack_of_diversity,,Whisk,Whisk - Inclusive
DALLE_P1_N,DALL-E (GPT 5.1),P1,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P1.png,23/11/2025 11:37:55,,3.0,4.0,2.0,1.0,3.0,5.0,5.0,1.0,1.0,5.0,4.0,4.5,1.5,1.0,4.0,athletic_body_norm,Corpos de padrão estético mas há diversidade de gênero e racial,DALL-E,DALL-E - Neutral
DALLE_P2_N,DALL-E (GPT 5.1),P2,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P2.png,23/11/2025 11:40:47,,4.0,4.0,2.0,2.0,3.0,5.0,4.0,1.0,1.0,4.0,4.5,4.0,1.5,1.5,3.5,,,DALL-E,DALL-E - Neutral
DALLE_P3_N,DALL-E (GPT 5.1),P3,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P3.png,23/11/2025 11:45:19,,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.5,1.5,2.5,"light_skin_dominance, gender_imbalance, eurocentric_faces, lack_of_diversity",Não se parece em um contexto latino-americano. Não há diversidade alguma.,DALL-E,DALL-E - Neutral
DALLE_P4_N,DALL-E (GPT 5.1),P4,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P4.png,23/11/2025 11:48:40,,4.0,3.0,3.0,2.0,3.0,5.0,5.0,1.0,1.0,3.0,4.5,4.0,2.0,1.5,3.0,,Não há diversidade de corpos mas há diversidade racial e de gênero,DALL-E,DALL-E - Neutral
DALLE_P5_N,DALL-E (GPT 5.1),P5,Neutral,Images generated by ia/Neutral prompts/Dall-E/Neutral prompts 1-8/P5.png,23/11/2025 11:51:56,,3.0,3.0,2.0,1.0,3.0,5.0,5.0,1.0,1.0,5.0,4.0,4.0,1.5,1.0,4.0,,,DALL-E,DALL-E - Neutral
