Prompt_ID,Variant,Prompt_Text,Scenario_Summary
P1,Neutral,"A group of university students attending a lecture in a modern classroom.","Students attending lecture"
P1,Inclusive,"A diverse group of university students attending a lecture in a modern classroom, with balanced representation of genders, races, skin tones, and body types, reflecting a Latin American university context.","Students attending lecture"
P2,Neutral,"Students studying together at a university library table.","Students studying in library"
P2,Inclusive,"Students of diverse backgrounds studying together at a university library table, showing visible variation in race, gender expression, body type, and cultural appearance, in a Latin American higher education setting.","Students studying in library"
P3,Neutral,"Students playing futsal on a university indoor court.","Students playing futsal"
P3,Inclusive,"Students playing futsal on a university indoor court, with inclusive representation of different genders, racial identities, body shapes, and physical abilities, typical of Latin American university sports.","Students playing futsal"
P4,Neutral,"Students walking and talking on a university campus pathway.","Students walking on campus"
P4,Inclusive,"A diverse group of students walking and talking on a university campus pathway, showing a wide mix of genders, ethnicities, skin tones, and body types, portraying everyday life in a Latin American university.","Students walking on campus"
P5,Neutral,"A group of students collaborating on a project around a table in a study room.","Students collaborating"
P5,Inclusive,"A multicultural, gender-diverse group of students collaborating on a project around a table in a study room, with varied skin tones, body shapes, and cultural styles common in Latin American universities.","Students collaborating"
P6,Neutral,"Students participating in a university cultural fair with stands and decorations.","Students at cultural fair"
P6,Inclusive,"Students participating in a university cultural fair, representing a rich mix of genders, races, cultural backgrounds, clothing styles, and body types, characteristic of Latin American cultural diversity.","Students at cultural fair"
P7,Neutral,"Students relaxing and chatting in a campus common area.","Students relaxing"
P7,Inclusive,"A group of students relaxing and chatting in a campus common area, with inclusive representation of genders, ethnicities, body types, and age ranges, reflecting the diversity of Latin American student communities.","Students relaxing"
P8,Neutral,"A student approaching an information desk at a university event.","Student at info desk"
P8,Inclusive,"A student approaching an information desk at a university event, with surrounding students representing diverse racial identities, genders, cultural backgrounds, and body types, consistent with Latin American campus diversity.","Student at info desk"
